City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Roquetas De Mar,ES,86.61,clear sky,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
474,Yangjiang,CN,86.65,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
475,Bull Savanna,JM,78.19,few clouds,17.8868,-77.5902,Big Red's
477,Sakaiminato,JP,82.38,broken clouds,35.55,133.2333,Italian pasley
479,Myitkyina,MM,79.21,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
483,Racale,IT,78.67,clear sky,39.9631,18.0938,Albergo Vittoria Taviano
487,Jiwani,PK,84.67,overcast clouds,25.05,61.7417,Hamza hotel jiwani
491,La Grande,US,80.98,clear sky,45.3246,-118.0877,Travelodge by Wyndham La Grande
492,Sola,VU,80.37,scattered clouds,-13.8833,167.55,Leumerus Bungalows
493,May Pen,JM,85.21,few clouds,17.9645,-77.2451,Mus Com Bac
495,Vitorino Freire,BR,76.6,scattered clouds,-4.0667,-45.1667,Francelina
498,Bubaque,GW,80.29,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
500,Shaunavon,CA,83.98,clear sky,49.6501,-108.4181,Bear's Den Lodge
504,Merauke,ID,80.74,broken clouds,-8.4667,140.3333,
505,Turbat,PK,89.67,broken clouds,26.0023,63.044,Mubashar Quarters
507,Machilipatnam,IN,79.09,moderate rain,16.1667,81.1333,R&B Bungalow
512,Ewa Beach,US,87.75,light intensity drizzle,21.3156,-158.0072,Base Lodging
513,Florence,IT,78.73,clear sky,43.7667,11.25,Hotel Nuova Italia
515,Bireun,ID,82.92,few clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
517,Saint Anthony,US,85.17,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
518,Ugoofaaru,MV,80.96,moderate rain,5.6667,73.0,Ungoofaaru Inn
519,Maraa,BR,77.49,overcast clouds,-1.8333,-65.3667,
520,Arzgir,RU,75.15,scattered clouds,45.3728,44.2206,
522,Lindenhurst,US,78.01,clear sky,40.6868,-73.3735,Days Inn by Wyndham Long Island/Copiague
531,Nioro,GM,80.02,overcast clouds,13.35,-15.75,
532,Chaman,PK,82.2,scattered clouds,30.9236,66.4512,Niamat parda Center chaman
536,Honavar,IN,78.33,heavy intensity rain,14.2833,74.45,Hotel Sagar Residency
537,Limbang,MY,84.31,overcast clouds,4.75,115.0,Purnama Hotel
544,Yamada,JP,77.81,few clouds,39.4667,141.95,Iroha-ya Inn
549,Ahuimanu,US,87.51,light rain,21.4447,-157.8378,Paradise Bay Resort
550,Numaligarh,IN,82.47,overcast clouds,26.6333,93.75,Mumai Hotel
552,Borba,BR,76.71,scattered clouds,-4.3878,-59.5939,Hotel da Amazônia
555,Palmer,US,76.55,broken clouds,42.1584,-72.3287,Wedgewood Motel
558,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
560,Robat Karim,IR,82.26,clear sky,35.4846,51.0829,خانه معلم رباط کریم - مرکز رفاهی خجسته کیا
562,Sivaki,RU,78.31,scattered clouds,52.6333,126.75,
567,Cam Ranh,VN,87.76,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
569,Elizabeth City,US,82.42,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
570,Superior,US,82.87,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
574,Lorengau,PG,84.15,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
576,Bakel,SN,85.78,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
578,Marzuq,YE,77.09,overcast clouds,14.4,46.4667,
581,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
588,Quimper,FR,75.78,clear sky,48.0,-4.1,Hôtel Oceania Quimper
590,Makakilo City,US,86.32,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
591,Rajpur,IN,75.61,moderate rain,22.3,74.35,YS Pawar Villa
592,Puri,IN,79.32,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
593,San Patricio,US,87.66,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
594,Nantucket,US,75.31,fog,41.2835,-70.0995,Jared Coffin House
595,Norfolk,US,78.93,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
597,Lafayette,US,84.33,clear sky,30.2335,-92.0668,"Drury Inn & Suites Lafayette, LA"
598,Mingaora,PK,80.38,clear sky,34.7758,72.3625,Burj Al Swat
599,Labis,MY,85.41,overcast clouds,2.385,103.021,Labis Sunrise Farm
603,Whithorn,JM,81.66,clear sky,18.2604,-78.0378,Sunset Heal
605,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
608,Mackay,AU,75.69,clear sky,-21.15,149.2,International Lodge Motel
610,Verkhniy Baskunchak,RU,75.72,clear sky,48.2256,46.7217,Kombat
611,Garwa,IN,85.03,broken clouds,24.1833,83.8167,A.PS.D Utsav Garden
612,Zhangjiakou,CN,80.01,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
617,Alexandria,EG,76.96,scattered clouds,31.2156,29.9553,Royal Crown Hotel
620,Ciudad Bolivar,VE,78.3,broken clouds,8.1222,-63.5497,Hotel Edi
624,Fuling,CN,80.28,overcast clouds,29.7022,107.3919,Yingbin Hostel
626,Dong Hoi,VN,88.88,overcast clouds,17.4833,106.6,Nam Long Hotel
627,Nassau,US,79.68,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
632,Higashine,JP,80.37,broken clouds,38.4389,140.4006,Best Western Yamagata Airport
640,Shibetsu,JP,77.7,scattered clouds,43.659,145.132,Hotel Kawabata Shibetsu
642,Sturgeon Bay,US,75.18,clear sky,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
645,Kupang,ID,81.0,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
649,Awjilah,LY,77.27,clear sky,29.1081,21.2869,المنزل
650,Yumen,CN,76.15,overcast clouds,40.2833,97.2,
652,Safaga,EG,84.83,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
653,Honiara,SB,88.75,clear sky,-9.4333,159.95,Heritage Park Hotel
654,Dullewala,PK,88.56,clear sky,31.8359,71.4362,Sajid fruit shop
655,Matay,EG,77.29,clear sky,28.419,30.7792,Nag Aespen
656,Sioux Lookout,CA,78.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
