City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,San Carlos De Bariloche,AR,2022-07-22 17:18:50,-41.1456,-71.3082,33.55,93,100,6.91,snow
234,Sibolga,ID,2022-07-22 17:18:50,1.7427,98.7792,76.69,90,86,4.18,overcast clouds
235,Natal,BR,2022-07-22 17:18:51,-5.795,-35.2094,86.22,62,40,18.41,scattered clouds
236,Spearfish,US,2022-07-22 17:18:51,44.4908,-103.8594,93.65,16,0,10.36,clear sky
237,Poum,NC,2022-07-22 17:18:51,-20.2333,164.0167,77.25,90,41,19.39,scattered clouds
238,Leningradskiy,RU,2022-07-22 17:18:52,69.3833,178.4167,32.27,94,97,8.57,overcast clouds
239,Srandakan,ID,2022-07-22 17:18:52,-7.9386,110.2506,74.84,84,80,5.1,broken clouds
240,Kamina,CD,2022-07-22 17:18:53,-8.7386,24.9906,72.79,33,49,5.17,scattered clouds
241,Svirstroy,RU,2022-07-22 17:18:53,60.7999,33.7248,71.89,59,72,3.62,broken clouds
242,Humberto De Campos,BR,2022-07-22 17:18:54,-2.5983,-43.4611,91.38,45,30,1.43,scattered clouds
243,Cocachacra,PE,2022-07-22 17:18:54,-17.0883,-71.7575,66.85,68,5,9.78,clear sky
244,Jalu,LY,2022-07-22 17:18:20,29.0331,21.5482,92.61,16,0,9.17,clear sky
245,Yulara,AU,2022-07-22 17:18:55,-25.2406,130.9889,59.38,32,90,8.01,overcast clouds
246,Westport,US,2022-07-22 17:15:00,41.1415,-73.3579,94.62,50,0,14.97,clear sky
247,Palaikastron,GR,2022-07-22 17:18:55,35.2,26.25,77.77,63,0,18.7,clear sky
248,Prieska,ZA,2022-07-22 17:18:56,-29.6641,22.7474,64.49,33,15,6.91,few clouds
249,Koulamoutou,GA,2022-07-22 17:18:56,-1.1303,12.4736,80.2,62,91,0.94,overcast clouds
250,Nioro,GM,2022-07-22 17:18:56,13.35,-15.75,76.87,90,100,9.57,light rain
251,Turayf,SA,2022-07-22 17:18:57,31.6725,38.6637,95.25,20,0,8.05,clear sky
252,Ust-Tsilma,RU,2022-07-22 17:18:57,65.441,52.1498,60.08,43,55,4.68,broken clouds
253,Tigzirt,DZ,2022-07-22 17:18:58,36.8886,4.1198,86.85,53,0,12.15,clear sky
254,Buala,SB,2022-07-22 17:18:58,-8.145,159.5921,78.98,81,8,4.74,clear sky
255,Los Llanos De Aridane,ES,2022-07-22 17:15:58,28.6585,-17.9182,71.35,73,20,18.41,few clouds
256,Roma,US,2022-07-22 17:18:03,43.2128,-75.4557,86.09,47,0,8.05,clear sky
257,Faanui,PF,2022-07-22 17:18:59,-16.4833,-151.75,77.65,74,13,10.29,few clouds
